epoch,acc,loss,lr,val_acc,val_loss
0,0.3840799927711487,2.6998636722564697,0.1,0.6207000017166138,1.3208096027374268
1,0.6148599982261658,1.356604814529419,0.1,0.6886000037193298,1.0527006387710571
2,0.6617000102996826,1.1623649597167969,0.1,0.7149999737739563,0.9435186386108398
3,0.6926800012588501,1.0555087327957153,0.1,0.7272999882698059,0.9032849669456482
4,0.7119399905204773,0.9735095500946045,0.1,0.7421000003814697,0.8553652167320251
5,0.7262600064277649,0.9177916646003723,0.1,0.7505999803543091,0.836294412612915
6,0.7444599866867065,0.8495379686355591,0.1,0.7595000267028809,0.8140233159065247
7,0.756380021572113,0.8051122426986694,0.1,0.757099986076355,0.8119867444038391
8,0.7680799961090088,0.7632192969322205,0.1,0.7617999911308289,0.8020551800727844
9,0.7746000289916992,0.7377225756645203,0.1,0.7621999979019165,0.7949015498161316
10,0.7864599823951721,0.6987212300300598,0.1,0.767799973487854,0.7895810604095459
11,0.7936599850654602,0.6673063039779663,0.1,0.7687000036239624,0.7883398532867432
12,0.7993199825286865,0.6430381536483765,0.1,0.7671999931335449,0.7895675897598267
13,0.8082600235939026,0.6165730953216553,0.1,0.7681999802589417,0.7881818413734436
14,0.8143399953842163,0.5862136483192444,0.1,0.7699999809265137,0.7847267985343933
15,0.8244199752807617,0.5627990961074829,0.1,0.7721999883651733,0.7879273295402527
16,0.8303400278091431,0.5400101542472839,0.1,0.7718999981880188,0.7942466735839844
17,0.8327199816703796,0.5249834060668945,0.1,0.7731000185012817,0.7939843535423279
18,0.8389800190925598,0.5018279552459717,0.1,0.7735999822616577,0.7987359166145325
19,0.8459200263023376,0.48400115966796875,0.1,0.7728000283241272,0.8039082288742065
20,0.8519799709320068,0.4656437039375305,0.1,0.7734000086784363,0.8044209480285645
21,0.8545399904251099,0.4483310878276825,0.1,0.7739999890327454,0.8067987561225891
22,0.8598600029945374,0.43520015478134155,0.1,0.7720000147819519,0.8222609162330627
23,0.8665599822998047,0.4133475720882416,0.1,0.776199996471405,0.8232582211494446
24,0.8707600235939026,0.4025789201259613,0.1,0.777999997138977,0.8255186676979065
25,0.8734999895095825,0.39309030771255493,0.1,0.7739999890327454,0.8402174115180969
26,0.874239981174469,0.39127108454704285,0.1,0.7756999731063843,0.842815637588501
27,0.8814799785614014,0.36522242426872253,0.1,0.7771000266075134,0.8462761640548706
28,0.88264000415802,0.3601266145706177,0.1,0.7727000117301941,0.8463966846466064
29,0.8865799903869629,0.3494870960712433,0.1,0.7781000137329102,0.8385119438171387
30,0.8934800028800964,0.328117698431015,0.01,0.7799000144004822,0.8346010446548462
31,0.8994600176811218,0.3137330114841461,0.01,0.7810999751091003,0.8310548067092896
32,0.9010000228881836,0.3046814501285553,0.01,0.781499981880188,0.828718364238739
33,0.9043400287628174,0.29641193151474,0.01,0.7814000248908997,0.8272279500961304
34,0.9065999984741211,0.2882855236530304,0.01,0.782800018787384,0.8266326189041138
35,0.9084799885749817,0.2859283983707428,0.01,0.7829999923706055,0.8259978294372559
36,0.9083399772644043,0.28432637453079224,0.01,0.7839000225067139,0.8281724452972412
37,0.909500002861023,0.28362351655960083,0.01,0.7835000157356262,0.8261401653289795
38,0.9090999960899353,0.284894734621048,0.01,0.7817999720573425,0.8263993859291077
39,0.9108200073242188,0.27707311511039734,0.01,0.7813000082969666,0.8262483477592468
40,0.9093000292778015,0.2833414077758789,0.01,0.7832000255584717,0.8285811543464661
41,0.9124400019645691,0.274812787771225,0.01,0.7839999794960022,0.8301622867584229
42,0.9111199975013733,0.27168765664100647,0.01,0.78329998254776,0.8291938304901123
43,0.9142600297927856,0.26950228214263916,0.01,0.7836999893188477,0.8321273326873779
44,0.9138000011444092,0.2677353620529175,0.01,0.7825999855995178,0.8316489458084106
45,0.9135199785232544,0.26972734928131104,0.01,0.7824000120162964,0.8333985209465027
46,0.914139986038208,0.2668018043041229,0.01,0.7821000218391418,0.834426760673523
47,0.9110999703407288,0.27454569935798645,0.01,0.7839000225067139,0.8355887532234192
48,0.9148799777030945,0.26423531770706177,0.01,0.7832000255584717,0.8355824947357178
49,0.9149600267410278,0.26312142610549927,0.01,0.7825000286102295,0.8349354267120361
50,0.9148200154304504,0.2663772404193878,0.01,0.782800018787384,0.8336683511734009
51,0.9147400259971619,0.26435866951942444,0.01,0.7803000211715698,0.8359107375144958
52,0.9167600274085999,0.25934314727783203,0.01,0.7822999954223633,0.8357863426208496
53,0.9165199995040894,0.25806427001953125,0.01,0.7828999757766724,0.8387091755867004
54,0.9191200137138367,0.25256088376045227,0.01,0.7815999984741211,0.8394663333892822
55,0.9156000018119812,0.2598142921924591,0.01,0.7831000089645386,0.8373732566833496
56,0.9167400002479553,0.25726285576820374,0.01,0.7832000255584717,0.8405342698097229
57,0.9194599986076355,0.25300073623657227,0.01,0.7829999923706055,0.8443912267684937
58,0.917959988117218,0.2548733055591583,0.01,0.7832000255584717,0.8445561528205872
59,0.9190999865531921,0.25228503346443176,0.01,0.7820000052452087,0.8452814221382141
